# Second test
 -5.61478004 134.56328070
 -5.76235990 135.85320072
 -4.97814286  -9.72413809
 -4.82738986  -8.41418255
 -4.67791117  -7.11057454
 -4.52984341  -5.81339157
 -4.38331297  -4.52269258
 -4.23843514  -3.23851576
 -4.09531750  -1.96088409
 -3.95405637  -0.68980389
 -3.81474240   0.57473297
 -3.67745379   1.83274873
 -3.54226449   3.08427688
 -3.40923953   4.32936393
 -3.27843819   5.56806558
 -3.14991135   6.80044777
 -3.02370657   8.02658413
 -2.89986414   9.24655612
 -2.77842060  10.46045304
 -2.65940661  11.66836868
 -2.54284712  12.87040407
 -2.42876720  14.06666353
 -2.31718503  15.25725656
 -2.20811633  16.44229617
 -2.10157376  17.62189860
 -1.99756721  18.79618289
 -1.89610404  19.96527040
 -1.79718938  21.12928453
 -1.70082627  22.28835031
 -1.60701598  23.44259415
 -1.51575809  24.59214355
 -1.42705078  25.73712682
 -1.34089091  26.87767295
 -1.25727426  28.01391130
 -1.17619559  29.14597153
 -1.09764884  30.27398339
 -1.02162723  31.39807661
 -0.94812337  32.51838075
 -0.87712936  33.63502515
 -0.80863690  34.74813880
 -0.74263738  35.85785028
 -0.67912196  36.96428772
 -0.61808162  38.06757871
 -0.55950727  39.16785029
 -0.50338977  40.26522888
 -0.44972003  41.35984032
 -0.39848903  42.45180980
 -0.34968788  43.54126186
 -0.30330787  44.62832040
 -0.25934050  45.71310869
 -0.21777752  46.79574934
 -0.17861096  47.87636436
 -0.14183317  48.95507513
 -0.10744012  50.03200334
 -0.07541773  51.10726737
 -0.04576334  52.18098789
 -0.01847079  53.25328407
  0.00646564  54.32427462
  0.02905127  55.39407778
  0.04929092  56.46281141
  0.06718897  57.53059296
  0.08274931  58.59753955
  0.09597535  59.66376802
  0.10687000  60.72939491
  0.11543567  61.79453657
  0.12167426  62.85930917
  0.12558683  63.92382631
  0.12717499  64.98820947
  0.12643868  66.05257118
  0.12337772  67.11702736
  0.11799144  68.18169397
  0.11027863  69.24668712
  0.10023762  70.31212328
  0.08786644  71.37811781
  0.07316265  72.44478764
  0.05612122  73.51224981
  0.03674030  74.58062037
  0.01501489  75.65001783
 -0.00905932  76.72055936
 -0.03548758  77.79236278
 -0.06427546  78.86554639
 -0.09542859  79.94023406
 -0.12895392  81.01653800
 -0.16485792  82.09458126
 -0.20314770  83.17448444
 -0.24383064  84.25636872
