X,Y,Polarity,Timestamp
109,65,1,25929225
109,65,1,25929226
109,65,1,25929227
62,65,0,25929254
42,52,0,25929271
38,49,0,25929466
124,65,1,25929472
70,121,1,25929477
70,121,1,25929478
107,69,1,25929623
91,63,0,25929701
88,97,1,25929728
83,67,0,25929732
86,64,0,25929835
75,71,0,25929915
25,51,0,25929942
81,68,0,25929949
27,42,0,25929959
69,121,1,25929971
14,105,1,25929978
89,64,0,25929999
88,65,0,25930009
81,106,1,25930013
81,106,1,25930014
81,106,1,25930016
88,64,0,25930027
30,62,0,25930058
110,53,0,25930079
68,125,1,25930080
96,86,1,25930087
65,116,1,25930100
109,53,0,25930123
116,50,0,25930131
15,122,1,25930139
67,126,1,25930170
115,54,1,25930203
68,53,0,25930208
100,58,0,25930209
92,63,0,25930277
116,55,1,25930287
95,35,0,25930305
14,108,1,25930313
82,68,0,25930392
97,60,0,25930395
101,78,1,25930429
93,89,1,25931096
93,89,1,25931097
93,89,1,25931098
93,89,1,25931099
29,43,0,25931148
29,43,0,25931149
29,43,0,25931150
29,43,0,25931151
29,43,0,25931152
29,43,0,25931153
29,43,0,25931154
29,43,0,25931155
29,43,0,25931156
65,118,0,25931295
75,114,1,25931373
75,114,1,25931374
67,97,1,25931572
70,42,1,25931584
123,47,1,25931585
123,47,1,25931586
110,64,1,25931634
106,71,1,25931639
72,73,0,25931646
14,104,1,25931671
104,56,0,25931675
15,125,1,25931722
36,75,0,25931726
54,61,0,25931736
65,114,1,25931742
81,107,1,25931744
81,107,1,25931746
85,99,1,25931762
103,56,0,25931768
95,61,0,25931835
23,46,0,25931860
13,76,1,25931870
72,119,1,25931878
72,119,1,25931879
72,119,1,25931880
72,119,1,25931881
94,61,0,25931892
19,37,0,25931987
117,49,0,25932010
98,59,0,25932012
76,113,1,25932022
76,113,1,25932023
76,113,1,25932024
76,113,1,25932025
105,46,1,25932063
126,107,1,25932083
114,51,0,25932085
17,36,0,25932094
35,73,0,25932125
84,67,0,25932147
34,71,0,25932186
85,67,0,25932227
69,87,1,25932290
69,87,1,25932291
69,71,0,25932341
28,58,0,25932350
86,66,0,25932373
63,67,0,25932412
110,53,0,25932516
49,103,0,25932524
99,59,0,25932547
30,44,0,25932751
73,118,1,25932754
105,72,1,25932835
90,64,0,25932936
26,41,0,25932937
26,41,0,25932939
26,41,0,25932940
110,64,0,25932944
